LIGNE DE METRO;NOM STATION;PLACE;
M11;MAIRIE DES LILAS;13;
M12;FRONT POPULAIRE;1;
M12;PORTE DE LA CHAPELLE;2;
M12;MARX DORMOY;3;
M12;MARCADET-POISSONNIERS;4;
M12;JULES JOFFRIN;5;
M12;LAMARCK-CAULAINCOURT;6;
M12;ABBESSES;7;
M12;PIGALLE;8;
M12;SAINT-GEORGES;9;
M12;NOTRE-DAME-DE-LORETTE;10;
M12;TRINITE-D'ESTIENNE D'ORVES;11;
M12;SAINT-LAZARE;12;
M12;MADELEINE;13;
M12;CONCORDE;14;
M12;ASSEMBLEE NATIONALE;13;
M12;SOLFERINO;14;
M12;RUE DU BAC;15;
M12;SEVRES-BABYLONE;16;
M12;RENNES;17;
M12;NOTRE-DAME-DES-CHAMPS;18;
M12;MONTPARNASSE;19;
M12;FALGUIERE;20;
M12;PASTEUR;21;
M12;VOLONTAIRES;22;
M12;VAUGIRARD (ADOLPHE CHERIOU);23;
M12;CONVENTION;24;
M12;PORTE DE VERSAILLES;25;
M12;CORENTIN-CELTON;26;
M12;MAIRIE D'ISSY;27;
M13;SAINT-DENIS-UNIVERSITE;1;
M13;BASILIQUE DE SAINT-DENIS;2;
M13;SAINT-DENIS-PORTE DE PARIS;3;
M13;CARREFOUR PLEYEL;4;
M13;MAIRIE DE SAINT-OUEN;5;
M13;GARIBALDI;6;
M13;PORTE DE SAINT-OUEN;7;
M13;GUY MOQUET;8;
M13;LES COURTILLES-ASNIERES-GENNEVILLIERS;9;
M13;LES AGNETTES-ASNIERES-GENNEVILLIERS;10;
M13;GABRIEL PERI-ASNIERES-GENNEVILLIERS;11;
M13;MAIRIE DE CLICHY;12;
M13;PORTE DE CLICHY;13;
M13;BROCHANT;14;
M13;LA FOURCHE;15;
M13;PLACE DE CLICHY;16;
M13;LIEGE;17;
M13;SAINT-LAZARE;18;
M13;MIROMESNIL;19;
M13;CHAMPS-ELYSEES-CLEMENCEAU;20;
M13;INVALIDES;21;
M13;VARENNE;22;
M13;SAINT-FRANCOIS-XAVIER;23;
M13;DUROC;24;
M13;MONTPARNASSE;25;
M13;GAITE;26;
M13;PERNETY;27;
M13;PLAISANCE;28;
M13;PORTE DE VANVES;29;
M13;MALAKOFF-PLATEAU DE VANVES;30;
M13;MALAKOFF-RUE ETIENNE DOLET;31;
M13;CHATILLON-MONTROUGE;32;
M14;SAINT-LAZARE;1;
M14;MADELEINE;2;
M14;PYRAMIDES;3;
M14;CHATELET;4;
M14;GARE DE LYON;5;
M14;BERCY;6;
M14;COUR SAINT-EMILION;7;
M14;BIBLIOTHEQUE FRANCOIS MITTERRAND;8;
M14;OLYMPIADES;9;
