Geo Point;Geo Shape;OBJECTID;ID_REF_ZDL;ID_REF_ZDE;GARES_ID;NOM_GARE;NOMLONG;NOM_IV;NUM_MOD;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;IDREFLIGA;IDREFLIGC;LIGNE;COD_LIGF;LIGNE_CODE;INDICE_LIG;RESEAU;RES_COM;COD_RESF;RES_STIF;EXPLOITANT;NUM_PSR;IDF;PRINCIPAL;X;Y
48.8539426071, 2.28933453277;"{""type"": ""Point"", ""coordinates"": [2.289334532766542, 48.85394260711305, 0.0]}";13.0;45340.0;22179.0;75.0;Bir-Hakeim (Grenelle);BIR-HAKEIM (GRENELLE);Bir-Hakeim;2145.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01539;;6;12.0;6-106075;6;METRO;M6;3.0;110.0;RATP;0.0;1.0;0.0;647853.859;6861779.46
48.895454673, 2.4253268888;"{""type"": ""Point"", ""coordinates"": [2.425326888802467, 48.89545467304617, 0.0]}";16.0;42344.0;22014.0;80.0;Bobigny-Pantin (Raymond Queneau);BOBIGNY-PANTIN (RAYMOND QUENEAU);Bobigny-Pantin - Raymond Queneau;2121.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01538;;5;11.0;5-105041;5;METRO;M5;3.0;110.0;RATP;0.0;1.0;0.0;657865.899;6866314.133
48.892082786, 2.28500950275;"{""type"": ""Point"", ""coordinates"": [2.285009502746195, 48.89208278597479, 0.0]}";22.0;42195.0;22036.0;16.0;Anatole France;ANATOLE FRANCE;Anatole France;2051.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01536;;3;8.0;3-103079;3;METRO;M3;3.0;110.0;RATP;0.0;1.0;0.0;647574.914;6866023.212
48.8828686476, 2.34413063372;"{""type"": ""Point"", ""coordinates"": [2.344130633722553, 48.88286864756839, 0.0]}";23.0;42210.0;22123.0;21.0;Anvers;ANVERS;Anvers;2038.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01535;;2;7.0;2-102059;2;METRO;M2;3.0;110.0;RATP;0.0;1.0;0.0;651901.225;6864961.023
48.8534369623, 2.36873657263;"{""type"": ""Point"", ""coordinates"": [2.368736572626169, 48.853436962301636, 0.0]}";35.0;42288.0;22010.0;55.0;Bastille;BASTILLE;Bastille;2106.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01538;;5;11.0;5-105071;5;METRO;M5;3.0;110.0;RATP;0.0;1.0;0.0;653679.521;6861673.73
48.8534394276, 2.36951356952;"{""type"": ""Point"", ""coordinates"": [2.369513569519206, 48.85343942757558, 0.0]}";36.0;42288.0;22097.0;56.0;Bastille;BASTILLE;Bastille;2205.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;;8;15.0;8-105071;8;METRO;M8;3.0;110.0;RATP;0.0;1.0;0.0;653736.536;6861673.549
48.8792141342, 2.30352872537;"{""type"": ""Point"", ""coordinates"": [2.303528725370108, 48.879214134245586, 0.0]}";44.0;42771.0;22121.0;218.0;Courcelles;COURCELLES;Courcelles;2045.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01535;;2;7.0;2-102073;2;METRO;M2;3.0;110.0;RATP;0.0;1.0;0.0;648920.138;6864580.164
48.8690911629, 2.38054258599;"{""type"": ""Point"", ""coordinates"": [2.380542585989343, 48.86909116292499, 0.0]}";45.0;42772.0;22126.0;220.0;Couronnes;COURONNES;Couronnes;2031.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01535;;2;7.0;2-102045;2;METRO;M2;3.0;110.0;RATP;0.0;1.0;0.0;654559.454;6863407.492
48.8342929805, 2.33285230996;"{""type"": ""Point"", ""coordinates"": [2.332852309960891, 48.8342929804732, 0.0]}";57.0;42835.0;22158.0;237.0;Denfert-Rochereau;DENFERT-ROCHEREAU;Denfert-Rochereau;2136.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01539;;6;12.0;6-297;6;METRO;M6;3.0;110.0;RATP;0.0;1.0;0.0;651028.503;6859566.764
48.8390411437, 2.38962001134;"{""type"": ""Point"", ""coordinates"": [2.389620011336723, 48.839041143700065, 0.0]}";58.0;42869.0;22182.0;244.0;Dugommier;DUGOMMIER;Dugommier;2127.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01539;;6;12.0;6-106039;6;METRO;M6;3.0;110.0;RATP;0.0;1.0;0.0;655199.49;6860061.002
